score,score_dealer,hard,decision,earn,earn_if_stand,earn_if_double,earn_if_hit,should_split
5,7,TRUE,hit,-0.0937464221447819,-0.47757897062072,-0.95515794124144,-0.0937464221447819,
5,6,TRUE,hit,0.092011857622593,-0.10733012306046,-0.21466024612092,0.092011857622593,
5,5,TRUE,hit,0.0439708527581015,-0.152267938338694,-0.304535876677387,0.0439708527581015,
5,4,TRUE,hit,-0.00252548139626735,-0.202271734381826,-0.404543468763652,-0.00252548139626735,
5,3,TRUE,hit,-0.0483320195926716,-0.250580302862827,-0.501160605725655,-0.0483320195926716,
5,2,TRUE,hit,-0.0881054858870726,-0.280871401578304,-0.561742803156608,-0.0881054858870726,
4,11,TRUE,hit,-0.477191321699229,-0.737855178735105,-1.47571035747021,-0.477191321699229,FALSE
4,10,TRUE,hit,-0.330149637300707,-0.569584039149257,-1.13916807829851,-0.330149637300707,FALSE
4,9,TRUE,hit,-0.229787622632381,-0.539918809201624,-1.07983761840325,-0.229787622632381,FALSE
4,8,TRUE,hit,-0.135283656689818,-0.521719923428067,-1.04343984685613,-0.135283656689818,FALSE
4,7,TRUE,hit,-0.0549429353891186,-0.480707148347425,-0.96141429669485,-0.0549429353891186,TRUE
4,6,TRUE,hit,0.104690106680355,-0.0931076178960097,-0.186215235792019,0.104690106680355,TRUE
4,5,TRUE,hit,0.0587968426447309,-0.133648728562981,-0.267297457125961,0.0587968426447309,TRUE
4,4,TRUE,hit,0.0132868248597914,-0.201846153846154,-0.403692307692308,0.0132868248597914,TRUE
4,3,TRUE,hit,-0.0360738126287207,-0.229425695677916,-0.458851391355832,-0.0360738126287207,TRUE
4,2,TRUE,hit,-0.0714898252677445,-0.276056767892568,-0.552113535785137,-0.0714898252677445,TRUE
3,11,TRUE,hit,-0.461054476699467,-0.711872360394181,-1.42374472078836,-0.461054476699467,
3,10,TRUE,hit,-0.30850379474486,-0.568062827225131,-1.13612565445026,-0.30850379474486,
3,9,TRUE,hit,-0.199035892720998,-0.532833020637899,-1.0656660412758,-0.199035892720998,
3,8,TRUE,hit,-0.105518464434853,-0.501831501831502,-1.003663003663,-0.105518464434853,
3,7,TRUE,hit,-0.0163793995047249,-0.436538461538462,-0.873076923076923,-0.0163793995047249,
3,6,TRUE,hit,0.128892985135306,-0.119925338310779,-0.239850676621559,0.128892985135306,
3,5,TRUE,hit,0.081030129612664,-0.136781053649106,-0.273562107298212,0.081030129612664,
3,4,TRUE,hit,0.0264520561759328,-0.221912720519963,-0.443825441039926,0.0264520561759328,
3,3,TRUE,hit,-0.0154802284061285,-0.260556127703399,-0.521112255406797,-0.0154802284061285,
3,2,TRUE,hit,-0.0550845293933416,-0.320667284522706,-0.641334569045412,-0.0550845293933416,
2,11,TRUE,hit,-0.438960006167779,-0.736359246740705,-1.47271849348141,-0.438960006167779,
2,10,TRUE,hit,-0.287279996026647,-0.577708383377372,-1.15541676675474,-0.287279996026647,
2,9,TRUE,hit,-0.180224575517953,-0.549618320610687,-1.09923664122137,-0.180224575517953,
2,8,TRUE,hit,-0.081680503920952,-0.536430317848411,-1.07286063569682,-0.081680503920952,
2,7,TRUE,hit,0.0147970070923973,-0.444168734491315,-0.88833746898263,0.0147970070923973,
2,6,TRUE,hit,0.146881769816355,-0.121810303322099,-0.243620606644198,0.146881769816355,
2,5,TRUE,hit,0.0984474517737907,-0.139009139009139,-0.278018278018278,0.0984474517737907,
2,4,TRUE,hit,0.0498924637001554,-0.20128381476387,-0.40256762952774,0.0498924637001554,
2,3,TRUE,hit,0.0040351807730623,-0.22837528604119,-0.45675057208238,0.0040351807730623,
